40.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
01:30:17.0 (278574)|USER_INFO|[EXTERNAL]|00528000001JBjQ|ramu.veligeti@yahoo.co.in|Pacific Standard Time|GMT-07:00
01:30:17.0 (309755)|EXECUTION_STARTED
01:30:17.0 (313228)|CODE_UNIT_STARTED|[EXTERNAL]|01p2800000FZDMn|AdhocLightningScheduler.getSobjectNames
01:30:17.0 (786910)|METHOD_ENTRY|[1]|01p2800000FZDMn|AdhocLightningScheduler.AdhocLightningScheduler()
01:30:17.0 (810508)|METHOD_EXIT|[1]|AdhocLightningScheduler
01:30:17.0 (1188270)|CONSTRUCTOR_ENTRY|[15]|01p2800000FZDMn|<init>(String,String)
01:30:17.0 (1588020)|CONSTRUCTOR_EXIT|[15]|01p2800000FZDMn|<init>(String,String)
01:30:17.0 (22647412)|CONSTRUCTOR_ENTRY|[29]|01p2800000FZDMn|<init>(String,String)
01:30:17.0 (22872756)|CONSTRUCTOR_EXIT|[29]|01p2800000FZDMn|<init>(String,String)
01:30:17.0 (22934513)|CONSTRUCTOR_ENTRY|[29]|01p2800000FZDMn|<init>(String,String)
01:30:17.0 (23110521)|CONSTRUCTOR_EXIT|[29]|01p2800000FZDMn|<init>(String,String)
01:30:17.0 (23516099)|CONSTRUCTOR_ENTRY|[29]|01p2800000FZDMn|<init>(String,String)
01:30:17.0 (23708645)|CONSTRUCTOR_EXIT|[29]|01p2800000FZDMn|<init>(String,String)
01:30:17.0 (23761594)|CONSTRUCTOR_ENTRY|[29]|01p2800000FZDMn|<init>(String,String)
01:30:17.0 (23934395)|CONSTRUCTOR_EXIT|[29]|01p2800000FZDMn|<init>(String,String)
01:30:17.0 (23985784)|CONSTRUCTOR_ENTRY|[29]|01p2800000FZDMn|<init>(String,String)
01:30:17.0 (24157198)|CONSTRUCTOR_EXIT|[29]|01p2800000FZDMn|<init>(String,String)
01:30:17.0 (24545438)|CONSTRUCTOR_ENTRY|[29]|01p2800000FZDMn|<init>(String,String)
01:30:17.0 (24734490)|CONSTRUCTOR_EXIT|[29]|01p2800000FZDMn|<init>(String,String)
01:30:17.0 (24786483)|CONSTRUCTOR_ENTRY|[29]|01p2800000FZDMn|<init>(String,String)
